"Active People","Jailed People","Quiet People","tick"
1120.0,0.0,0.0,1.0
458.0,631.0,31.0,2.0
327.0,775.0,18.0,3.0
227.0,854.0,39.0,4.0
188.0,900.0,32.0,5.0
163.0,928.0,29.0,6.0
132.0,951.0,37.0,7.0
119.0,962.0,39.0,8.0
116.0,962.0,42.0,9.0
108.0,973.0,39.0,10.0
106.0,962.0,52.0,11.0
122.0,958.0,40.0,12.0
120.0,967.0,33.0,13.0
111.0,955.0,54.0,14.0
112.0,954.0,54.0,15.0
119.0,943.0,58.0,16.0
120.0,949.0,51.0,17.0
107.0,945.0,68.0,18.0
122.0,944.0,54.0,19.0
115.0,949.0,56.0,20.0
118.0,933.0,69.0,21.0
143.0,910.0,67.0,22.0
144.0,903.0,73.0,23.0
156.0,916.0,48.0,24.0
120.0,932.0,68.0,25.0
136.0,918.0,66.0,26.0
134.0,920.0,66.0,27.0
142.0,902.0,76.0,28.0
149.0,884.0,87.0,29.0
175.0,866.0,79.0,30.0
176.0,855.0,89.0,31.0
171.0,871.0,78.0,32.0
151.0,893.0,76.0,33.0
128.0,922.0,70.0,34.0
119.0,935.0,66.0,35.0
116.0,932.0,72.0,36.0
118.0,924.0,78.0,37.0
117.0,919.0,84.0,38.0
128.0,906.0,86.0,39.0
125.0,911.0,84.0,40.0
128.0,903.0,89.0,41.0
138.0,898.0,84.0,42.0
131.0,908.0,81.0,43.0
123.0,911.0,86.0,44.0
118.0,925.0,77.0,45.0
118.0,918.0,84.0,46.0
119.0,899.0,102.0,47.0
142.0,897.0,81.0,48.0
127.0,895.0,98.0,49.0
123.0,901.0,96.0,50.0
129.0,882.0,109.0,51.0
147.0,870.0,103.0,52.0
150.0,873.0,97.0,53.0
137.0,889.0,94.0,54.0
142.0,870.0,108.0,55.0
154.0,856.0,110.0,56.0
165.0,859.0,96.0,57.0
170.0,845.0,105.0,58.0
187.0,846.0,87.0,59.0
156.0,869.0,95.0,60.0
158.0,877.0,85.0,61.0
136.0,871.0,113.0,62.0
164.0,847.0,109.0,63.0
152.0,862.0,106.0,64.0
154.0,877.0,89.0,65.0
128.0,892.0,100.0,66.0
124.0,889.0,107.0,67.0
138.0,886.0,96.0,68.0
130.0,896.0,94.0,69.0
113.0,919.0,88.0,70.0
106.0,903.0,111.0,71.0
130.0,880.0,110.0,72.0
147.0,854.0,119.0,73.0
167.0,845.0,108.0,74.0
166.0,838.0,116.0,75.0
164.0,849.0,107.0,76.0
159.0,868.0,93.0,77.0
143.0,868.0,109.0,78.0
146.0,878.0,96.0,79.0
120.0,884.0,116.0,80.0
137.0,881.0,102.0,81.0
119.0,897.0,104.0,82.0
114.0,894.0,112.0,83.0
124.0,888.0,108.0,84.0
121.0,889.0,110.0,85.0
129.0,873.0,118.0,86.0
136.0,880.0,104.0,87.0
128.0,886.0,106.0,88.0
117.0,901.0,102.0,89.0
112.0,897.0,111.0,90.0
121.0,901.0,98.0,91.0
109.0,898.0,113.0,92.0
114.0,897.0,109.0,93.0
116.0,895.0,109.0,94.0
117.0,892.0,111.0,95.0
126.0,869.0,125.0,96.0
136.0,884.0,100.0,97.0
121.0,894.0,105.0,98.0
128.0,879.0,113.0,99.0
141.0,865.0,114.0,100.0
135.0,875.0,110.0,101.0
133.0,875.0,112.0,102.0
124.0,891.0,105.0,103.0
125.0,876.0,119.0,104.0
131.0,879.0,110.0,105.0
129.0,884.0,107.0,106.0
136.0,870.0,114.0,107.0
141.0,859.0,120.0,108.0
138.0,864.0,118.0,109.0
152.0,845.0,123.0,110.0
146.0,871.0,103.0,111.0
130.0,875.0,115.0,112.0
143.0,876.0,101.0,113.0
133.0,860.0,127.0,114.0
153.0,851.0,116.0,115.0
147.0,849.0,124.0,116.0
152.0,864.0,104.0,117.0
130.0,881.0,109.0,118.0
139.0,872.0,109.0,119.0
146.0,866.0,108.0,120.0
149.0,848.0,123.0,121.0
157.0,847.0,116.0,122.0
156.0,842.0,122.0,123.0
172.0,842.0,106.0,124.0
163.0,844.0,113.0,125.0
152.0,857.0,111.0,126.0
149.0,849.0,122.0,127.0
147.0,864.0,109.0,128.0
143.0,868.0,109.0,129.0
136.0,879.0,105.0,130.0
135.0,864.0,121.0,131.0
146.0,867.0,107.0,132.0
139.0,866.0,115.0,133.0
149.0,854.0,117.0,134.0
152.0,843.0,125.0,135.0
157.0,846.0,117.0,136.0
158.0,848.0,114.0,137.0
158.0,855.0,107.0,138.0
152.0,853.0,115.0,139.0
152.0,851.0,117.0,140.0
146.0,868.0,106.0,141.0
139.0,847.0,134.0,142.0
166.0,843.0,111.0,143.0
143.0,854.0,123.0,144.0
156.0,842.0,122.0,145.0
164.0,850.0,106.0,146.0
145.0,855.0,120.0,147.0
158.0,857.0,105.0,148.0
140.0,873.0,107.0,149.0
130.0,885.0,105.0,150.0
130.0,873.0,117.0,151.0
149.0,856.0,115.0,152.0
157.0,847.0,116.0,153.0
151.0,845.0,124.0,154.0
155.0,829.0,136.0,155.0
173.0,831.0,116.0,156.0
169.0,845.0,106.0,157.0
163.0,838.0,119.0,158.0
164.0,828.0,128.0,159.0
165.0,842.0,113.0,160.0
135.0,877.0,108.0,161.0
123.0,879.0,118.0,162.0
123.0,871.0,126.0,163.0
137.0,862.0,121.0,164.0
146.0,857.0,117.0,165.0
143.0,863.0,114.0,166.0
136.0,869.0,115.0,167.0
137.0,871.0,112.0,168.0
142.0,848.0,130.0,169.0
157.0,847.0,116.0,170.0
141.0,853.0,126.0,171.0
158.0,843.0,119.0,172.0
146.0,853.0,121.0,173.0
143.0,863.0,114.0,174.0
132.0,869.0,119.0,175.0
134.0,876.0,110.0,176.0
127.0,866.0,127.0,177.0
138.0,870.0,112.0,178.0
125.0,885.0,110.0,179.0
120.0,871.0,129.0,180.0
128.0,875.0,117.0,181.0
117.0,881.0,122.0,182.0
112.0,897.0,111.0,183.0
101.0,893.0,126.0,184.0
124.0,881.0,115.0,185.0
125.0,876.0,119.0,186.0
134.0,861.0,125.0,187.0
130.0,865.0,125.0,188.0
138.0,854.0,128.0,189.0
124.0,889.0,107.0,190.0
115.0,889.0,116.0,191.0
123.0,891.0,106.0,192.0
110.0,901.0,109.0,193.0
122.0,894.0,104.0,194.0
113.0,886.0,121.0,195.0
133.0,871.0,116.0,196.0
124.0,869.0,127.0,197.0
133.0,863.0,124.0,198.0
127.0,868.0,125.0,199.0
143.0,861.0,116.0,200.0
141.0,854.0,125.0,201.0
142.0,859.0,119.0,202.0
149.0,858.0,113.0,203.0
143.0,854.0,123.0,204.0
147.0,843.0,130.0,205.0
164.0,847.0,109.0,206.0
138.0,866.0,116.0,207.0
136.0,855.0,129.0,208.0
143.0,864.0,113.0,209.0
125.0,877.0,118.0,210.0
134.0,883.0,103.0,211.0
115.0,874.0,131.0,212.0
137.0,857.0,126.0,213.0
141.0,875.0,104.0,214.0
121.0,880.0,119.0,215.0
112.0,886.0,122.0,216.0
112.0,895.0,113.0,217.0
95.0,911.0,114.0,218.0
95.0,904.0,121.0,219.0
106.0,903.0,111.0,220.0
101.0,899.0,120.0,221.0
108.0,896.0,116.0,222.0
106.0,905.0,109.0,223.0
108.0,883.0,129.0,224.0
126.0,880.0,114.0,225.0
117.0,875.0,128.0,226.0
125.0,889.0,106.0,227.0
108.0,887.0,125.0,228.0
115.0,884.0,121.0,229.0
117.0,892.0,111.0,230.0
105.0,889.0,126.0,231.0
121.0,891.0,108.0,232.0
111.0,888.0,121.0,233.0
118.0,880.0,122.0,234.0
119.0,878.0,123.0,235.0
113.0,866.0,141.0,236.0
127.0,859.0,134.0,237.0
126.0,866.0,128.0,238.0
137.0,867.0,116.0,239.0
118.0,875.0,127.0,240.0
129.0,862.0,129.0,241.0
135.0,856.0,129.0,242.0
139.0,853.0,128.0,243.0
145.0,861.0,114.0,244.0
128.0,878.0,114.0,245.0
122.0,891.0,107.0,246.0
115.0,880.0,125.0,247.0
120.0,882.0,118.0,248.0
117.0,880.0,123.0,249.0
127.0,886.0,107.0,250.0
123.0,881.0,116.0,251.0
122.0,875.0,123.0,252.0
134.0,875.0,111.0,253.0
131.0,857.0,132.0,254.0
157.0,842.0,121.0,255.0
153.0,844.0,123.0,256.0
150.0,850.0,120.0,257.0
155.0,856.0,109.0,258.0
148.0,841.0,131.0,259.0
165.0,839.0,116.0,260.0
147.0,861.0,112.0,261.0
132.0,856.0,132.0,262.0
158.0,834.0,128.0,263.0
154.0,844.0,122.0,264.0
144.0,852.0,124.0,265.0
155.0,840.0,125.0,266.0
166.0,839.0,115.0,267.0
137.0,877.0,106.0,268.0
120.0,892.0,108.0,269.0
126.0,881.0,113.0,270.0
120.0,884.0,116.0,271.0
121.0,881.0,118.0,272.0
132.0,854.0,134.0,273.0
134.0,864.0,122.0,274.0
126.0,875.0,119.0,275.0
126.0,881.0,113.0,276.0
125.0,878.0,117.0,277.0
130.0,869.0,121.0,278.0
137.0,860.0,123.0,279.0
145.0,859.0,116.0,280.0
140.0,856.0,124.0,281.0
144.0,876.0,100.0,282.0
117.0,883.0,120.0,283.0
130.0,847.0,143.0,284.0
152.0,848.0,120.0,285.0
142.0,850.0,128.0,286.0
143.0,856.0,121.0,287.0
138.0,863.0,119.0,288.0
134.0,875.0,111.0,289.0
116.0,876.0,128.0,290.0
125.0,875.0,120.0,291.0
126.0,883.0,111.0,292.0
118.0,875.0,127.0,293.0
125.0,872.0,123.0,294.0
126.0,869.0,125.0,295.0
126.0,876.0,118.0,296.0
125.0,882.0,113.0,297.0
130.0,875.0,115.0,298.0
133.0,871.0,116.0,299.0
137.0,871.0,112.0,300.0
142.0,850.0,128.0,301.0
152.0,853.0,115.0,302.0
130.0,863.0,127.0,303.0
125.0,871.0,124.0,304.0
127.0,860.0,133.0,305.0
147.0,856.0,117.0,306.0
138.0,869.0,113.0,307.0
125.0,880.0,115.0,308.0
114.0,885.0,121.0,309.0
127.0,871.0,122.0,310.0
131.0,872.0,117.0,311.0
119.0,869.0,132.0,312.0
142.0,872.0,106.0,313.0
114.0,868.0,138.0,314.0
135.0,864.0,121.0,315.0
129.0,869.0,122.0,316.0
133.0,851.0,136.0,317.0
139.0,856.0,125.0,318.0
138.0,855.0,127.0,319.0
137.0,857.0,126.0,320.0
135.0,865.0,120.0,321.0
128.0,866.0,126.0,322.0
125.0,872.0,123.0,323.0
125.0,878.0,117.0,324.0
124.0,878.0,118.0,325.0
126.0,889.0,105.0,326.0
109.0,872.0,139.0,327.0
138.0,861.0,121.0,328.0
135.0,869.0,116.0,329.0
127.0,873.0,120.0,330.0
136.0,869.0,115.0,331.0
115.0,874.0,131.0,332.0
132.0,854.0,134.0,333.0
141.0,866.0,113.0,334.0
114.0,885.0,121.0,335.0
122.0,876.0,122.0,336.0
123.0,878.0,119.0,337.0
130.0,881.0,109.0,338.0
132.0,882.0,106.0,339.0
120.0,877.0,123.0,340.0
120.0,872.0,128.0,341.0
125.0,878.0,117.0,342.0
115.0,888.0,117.0,343.0
119.0,895.0,106.0,344.0
109.0,888.0,123.0,345.0
130.0,864.0,126.0,346.0
140.0,861.0,119.0,347.0
137.0,864.0,119.0,348.0
133.0,866.0,121.0,349.0
142.0,851.0,127.0,350.0
152.0,848.0,120.0,351.0
142.0,850.0,128.0,352.0
148.0,853.0,119.0,353.0
147.0,855.0,118.0,354.0
134.0,876.0,110.0,355.0
135.0,866.0,119.0,356.0
134.0,861.0,125.0,357.0
136.0,871.0,113.0,358.0
128.0,869.0,123.0,359.0
135.0,853.0,132.0,360.0
148.0,854.0,118.0,361.0
129.0,870.0,121.0,362.0
125.0,874.0,121.0,363.0
121.0,884.0,115.0,364.0
107.0,901.0,112.0,365.0
104.0,901.0,115.0,366.0
111.0,885.0,124.0,367.0
121.0,868.0,131.0,368.0
136.0,850.0,134.0,369.0
135.0,875.0,110.0,370.0
115.0,889.0,116.0,371.0
100.0,910.0,110.0,372.0
98.0,898.0,124.0,373.0
113.0,891.0,116.0,374.0
111.0,886.0,123.0,375.0
119.0,877.0,124.0,376.0
130.0,875.0,115.0,377.0
132.0,857.0,131.0,378.0
153.0,860.0,107.0,379.0
117.0,882.0,121.0,380.0
132.0,865.0,123.0,381.0
135.0,872.0,113.0,382.0
133.0,867.0,120.0,383.0
144.0,857.0,119.0,384.0
139.0,856.0,125.0,385.0
140.0,855.0,125.0,386.0
152.0,852.0,116.0,387.0
134.0,870.0,116.0,388.0
125.0,870.0,125.0,389.0
135.0,869.0,116.0,390.0
125.0,881.0,114.0,391.0
119.0,887.0,114.0,392.0
121.0,885.0,114.0,393.0
121.0,884.0,115.0,394.0
121.0,871.0,128.0,395.0
135.0,867.0,118.0,396.0
132.0,876.0,112.0,397.0
125.0,870.0,125.0,398.0
127.0,858.0,135.0,399.0
132.0,867.0,121.0,400.0
117.0,889.0,114.0,401.0
116.0,892.0,112.0,402.0
118.0,877.0,125.0,403.0
137.0,868.0,115.0,404.0
126.0,887.0,107.0,405.0
114.0,879.0,127.0,406.0
140.0,856.0,124.0,407.0
153.0,846.0,121.0,408.0
140.0,865.0,115.0,409.0
122.0,862.0,136.0,410.0
144.0,849.0,127.0,411.0
145.0,851.0,124.0,412.0
141.0,866.0,113.0,413.0
142.0,861.0,117.0,414.0
144.0,850.0,126.0,415.0
157.0,831.0,132.0,416.0
165.0,834.0,121.0,417.0
145.0,866.0,109.0,418.0
122.0,874.0,124.0,419.0
135.0,879.0,106.0,420.0
111.0,902.0,107.0,421.0
114.0,876.0,130.0,422.0
141.0,866.0,113.0,423.0
134.0,870.0,116.0,424.0
145.0,867.0,108.0,425.0
127.0,876.0,117.0,426.0
129.0,858.0,133.0,427.0
150.0,854.0,116.0,428.0
145.0,850.0,125.0,429.0
147.0,861.0,112.0,430.0
138.0,858.0,124.0,431.0
152.0,854.0,114.0,432.0
141.0,855.0,124.0,433.0
137.0,863.0,120.0,434.0
139.0,867.0,114.0,435.0
133.0,872.0,115.0,436.0
124.0,872.0,124.0,437.0
139.0,863.0,118.0,438.0
142.0,854.0,124.0,439.0
141.0,875.0,104.0,440.0
124.0,870.0,126.0,441.0
138.0,861.0,121.0,442.0
145.0,849.0,126.0,443.0
151.0,854.0,115.0,444.0
140.0,852.0,128.0,445.0
150.0,843.0,127.0,446.0
164.0,840.0,116.0,447.0
158.0,841.0,121.0,448.0
143.0,850.0,127.0,449.0
135.0,843.0,142.0,450.0
145.0,856.0,119.0,451.0
132.0,873.0,115.0,452.0
133.0,869.0,118.0,453.0
131.0,870.0,119.0,454.0
129.0,858.0,133.0,455.0
153.0,854.0,113.0,456.0
134.0,873.0,113.0,457.0
130.0,858.0,132.0,458.0
146.0,846.0,128.0,459.0
157.0,846.0,117.0,460.0
140.0,867.0,113.0,461.0
141.0,873.0,106.0,462.0
135.0,882.0,103.0,463.0
129.0,878.0,113.0,464.0
135.0,866.0,119.0,465.0
148.0,860.0,112.0,466.0
146.0,858.0,116.0,467.0
137.0,857.0,126.0,468.0
155.0,846.0,119.0,469.0
143.0,848.0,129.0,470.0
157.0,846.0,117.0,471.0
144.0,862.0,114.0,472.0
137.0,860.0,123.0,473.0
133.0,881.0,106.0,474.0
118.0,886.0,116.0,475.0
126.0,875.0,119.0,476.0
139.0,863.0,118.0,477.0
146.0,852.0,122.0,478.0
152.0,834.0,134.0,479.0
177.0,810.0,133.0,480.0
187.0,827.0,106.0,481.0
165.0,828.0,127.0,482.0
177.0,815.0,128.0,483.0
185.0,821.0,114.0,484.0
178.0,827.0,115.0,485.0
168.0,832.0,120.0,486.0
163.0,833.0,124.0,487.0
165.0,831.0,124.0,488.0
158.0,839.0,123.0,489.0
159.0,836.0,125.0,490.0
157.0,855.0,108.0,491.0
148.0,838.0,134.0,492.0
166.0,836.0,118.0,493.0
142.0,852.0,126.0,494.0
154.0,846.0,120.0,495.0
144.0,859.0,117.0,496.0
134.0,861.0,125.0,497.0
143.0,875.0,102.0,498.0
109.0,893.0,118.0,499.0
114.0,882.0,124.0,500.0
