"Active People","Jailed People","Quiet People","tick"
1055.0,0.0,65.0,1.0
741.0,363.0,16.0,2.0
560.0,534.0,26.0,3.0
483.0,607.0,30.0,4.0
428.0,658.0,34.0,5.0
389.0,692.0,39.0,6.0
375.0,697.0,48.0,7.0
368.0,715.0,37.0,8.0
347.0,718.0,55.0,9.0
350.0,725.0,45.0,10.0
340.0,736.0,44.0,11.0
322.0,754.0,44.0,12.0
309.0,767.0,44.0,13.0
300.0,760.0,60.0,14.0
291.0,766.0,63.0,15.0
298.0,767.0,55.0,16.0
287.0,767.0,66.0,17.0
300.0,757.0,63.0,18.0
297.0,750.0,73.0,19.0
311.0,746.0,63.0,20.0
309.0,739.0,72.0,21.0
315.0,742.0,63.0,22.0
308.0,747.0,65.0,23.0
295.0,762.0,63.0,24.0
286.0,759.0,75.0,25.0
289.0,766.0,65.0,26.0
278.0,771.0,71.0,27.0
283.0,750.0,87.0,28.0
303.0,725.0,92.0,29.0
314.0,710.0,96.0,30.0
344.0,713.0,63.0,31.0
320.0,722.0,78.0,32.0
317.0,736.0,67.0,33.0
318.0,736.0,66.0,34.0
295.0,756.0,69.0,35.0
285.0,772.0,63.0,36.0
273.0,782.0,65.0,37.0
257.0,780.0,83.0,38.0
258.0,783.0,79.0,39.0
257.0,776.0,87.0,40.0
287.0,761.0,72.0,41.0
290.0,763.0,67.0,42.0
284.0,778.0,58.0,43.0
282.0,769.0,69.0,44.0
304.0,747.0,69.0,45.0
298.0,762.0,60.0,46.0
269.0,772.0,79.0,47.0
288.0,773.0,59.0,48.0
279.0,776.0,65.0,49.0
272.0,767.0,81.0,50.0
283.0,766.0,71.0,51.0
292.0,761.0,67.0,52.0
282.0,782.0,56.0,53.0
253.0,777.0,90.0,54.0
278.0,756.0,86.0,55.0
289.0,752.0,79.0,56.0
310.0,734.0,76.0,57.0
305.0,737.0,78.0,58.0
309.0,740.0,71.0,59.0
304.0,750.0,66.0,60.0
300.0,743.0,77.0,61.0
306.0,726.0,88.0,62.0
325.0,719.0,76.0,63.0
328.0,720.0,72.0,64.0
328.0,715.0,77.0,65.0
328.0,721.0,71.0,66.0
337.0,703.0,80.0,67.0
330.0,702.0,88.0,68.0
332.0,722.0,66.0,69.0
327.0,718.0,75.0,70.0
356.0,692.0,72.0,71.0
369.0,676.0,75.0,72.0
380.0,660.0,80.0,73.0
393.0,646.0,81.0,74.0
397.0,642.0,81.0,75.0
379.0,656.0,85.0,76.0
388.0,643.0,89.0,77.0
383.0,648.0,89.0,78.0
393.0,649.0,78.0,79.0
395.0,645.0,80.0,80.0
398.0,649.0,73.0,81.0
373.0,663.0,84.0,82.0
382.0,653.0,85.0,83.0
401.0,628.0,91.0,84.0
400.0,633.0,87.0,85.0
416.0,609.0,95.0,86.0
439.0,594.0,87.0,87.0
425.0,619.0,76.0,88.0
411.0,636.0,73.0,89.0
388.0,666.0,66.0,90.0
375.0,670.0,75.0,91.0
374.0,693.0,53.0,92.0
336.0,715.0,69.0,93.0
336.0,701.0,83.0,94.0
367.0,697.0,56.0,95.0
351.0,700.0,69.0,96.0
351.0,701.0,68.0,97.0
339.0,711.0,70.0,98.0
339.0,710.0,71.0,99.0
348.0,711.0,61.0,100.0
356.0,699.0,65.0,101.0
354.0,698.0,68.0,102.0
355.0,693.0,72.0,103.0
372.0,687.0,61.0,104.0
359.0,694.0,67.0,105.0
362.0,700.0,58.0,106.0
343.0,714.0,63.0,107.0
348.0,698.0,74.0,108.0
366.0,690.0,64.0,109.0
356.0,695.0,69.0,110.0
361.0,698.0,61.0,111.0
362.0,694.0,64.0,112.0
360.0,706.0,54.0,113.0
349.0,718.0,53.0,114.0
338.0,713.0,69.0,115.0
347.0,695.0,78.0,116.0
356.0,675.0,89.0,117.0
367.0,674.0,79.0,118.0
363.0,683.0,74.0,119.0
375.0,674.0,71.0,120.0
371.0,683.0,66.0,121.0
365.0,677.0,78.0,122.0
382.0,662.0,76.0,123.0
372.0,682.0,66.0,124.0
354.0,696.0,70.0,125.0
360.0,698.0,62.0,126.0
354.0,694.0,72.0,127.0
349.0,696.0,75.0,128.0
341.0,695.0,84.0,129.0
363.0,689.0,68.0,130.0
350.0,690.0,80.0,131.0
350.0,704.0,66.0,132.0
336.0,725.0,59.0,133.0
322.0,736.0,62.0,134.0
315.0,739.0,66.0,135.0
308.0,741.0,71.0,136.0
300.0,755.0,65.0,137.0
301.0,766.0,53.0,138.0
281.0,772.0,67.0,139.0
255.0,790.0,75.0,140.0
264.0,785.0,71.0,141.0
242.0,785.0,93.0,142.0
276.0,756.0,88.0,143.0
277.0,773.0,70.0,144.0
256.0,785.0,79.0,145.0
273.0,769.0,78.0,146.0
268.0,781.0,71.0,147.0
282.0,768.0,70.0,148.0
284.0,772.0,64.0,149.0
284.0,760.0,76.0,150.0
